,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8
Person ID,0.3000264351974952,0.29518707338750894,0.5707606920554977,-0.07410257299146439,-0.03292846785677517,-0.1042927007917814,-0.030518860893641125,-0.6918794104928189
Age,0.31540634600665685,0.31000626947377546,0.5378475321460483,0.0031773929964510478,-0.05636576506021661,-0.0051297908877177695,0.009545499192221328,0.7154232001714999
Sleep Duration,0.43011066401802345,0.026411535530788524,-0.29999970320272173,0.5324036361326366,-0.4618542488384532,-0.3938339597345342,-0.2688056627645334,-0.013519410316727987
Quality of Sleep,0.4756799370407898,0.029165631719987678,-0.20946484952464772,0.14460688923425438,-0.08560053021523376,0.5549447266808685,0.6220411904993647,-0.0765829269547327
Physical Activity Level,0.00410303844722535,0.6227109847103264,-0.32409695088187546,0.10340891919464863,0.5454651857454423,-0.37343533554469355,0.24376591682406237,0.008597415768622933
Stress Level,-0.47567987945451284,0.08889528813054266,0.16048432229021922,0.09661935477963296,-0.510786680994543,-0.3199045646553268,0.6062124504756394,-0.0005133526371679797
Heart Rate,-0.40002295166995594,0.26108801564897627,0.1719670133195041,0.6987286818766342,0.07600343473214512,0.4490805767040835,-0.20808871912793078,-0.05717919361436202
Daily Steps,-0.11370947529188324,0.5927682571316666,-0.3011813648264453,-0.4264779636797587,-0.4592276060492297,0.28733540610644126,-0.2637602760419411,-0.00900930435695004
